,Name,Full_Code,Unified_Secondary,BLKTot,INDTot,ASNTot,HIPTot,OTHTot,BIRTot,WHTTot,LATTot,BLKMil,INDMil,ASNMil,HIPMil,OTHMil,BIRMil,WHTMil,LATMil,BLKCiv,INDCiv,ASNCiv,HIPCiv,OTHCiv,BIRCiv,WHTCiv,LATCiv,BLKCivLbr,INDCivLbr,ASNCivLbr,HIPCivLbr,OTHCivLbr,BIRCivLbr,WHTCivLbr,LATCivLbr,BLKCivLbrRate,INDCivLbrRate,ASNCivLbrRate,HIPCivLbrRate,OTHCivLbrRate,BIRCivLbrRate,WHTCivLbrRate,LATCivLbrRate,BLKTotNonLbr,INDTotNonLbr,ASNTotNonLbr,HIPTotNonLbr,OTHTotNonLbr,BIRTotNonLbr,WHTTotNonLbr,LATTotNonLbr,BLKTotNonLbrRate,INDTotNonLbrRate,ASNTotNonLbrRate,HIPTotNonLbrRate,OTHTotNonLbrRate,BIRTotNonLbrRate,WHTTotNonLbrRate,LATTotNonLbrRate,BLKTotEmply,INDTotEmply,ASNTotEmply,HIPTotEmply,OTHTotEmply,BIRTotEmply,WHTTotEmply,LATTotEmply,BLKTotUnEmply,INDTotUnEmply,ASNTotUnEmply,HIPTotUnEmply,OTHTotUnEmply,BIRTotUnEmply,WHTTotUnEmply,LATTotUnEmply,BLKEmplyRate,INDEmplyRate,ASNEmplyRate,HIPEmplyRate,OTHEmplyRate,BIREmplyRate,WHTEmplyRate,LATEmplyRate,BLKUnEmplyRate,INDUnEmplyRate,ASNUnEmplyRate,HIPUnEmplyRate,OTHUnEmplyRate,BIRUnEmplyRate,WHTUnEmplyRate,LATUnEmplyRate
0,Paradise Valley Unified District,9700000US0405930,U,0,0,0,0,0,0,6898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6898,0,0,0,0,0,0,0,2974,0,,,,,,,0.4311394607132502,,0,0,0,0,0,0,3924,0,,,,,,,0.5688605392867497,,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,318,0,,,,,,,0.8930733019502354,,,,,,,,0.10692669804976462,
1,Scottsdale Unified District,9700000US0407570,U,0,0,0,0,0,0,6376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6376,0,0,0,0,0,0,0,2411,0,,,,,,,0.3781367628607277,,0,0,0,0,0,0,3965,0,,,,,,,0.6218632371392723,,0,0,0,0,0,0,2124,0,0,0,0,0,0,0,287,0,,,,,,,0.8809622563251763,,,,,,,,0.11903774367482373,
2,Deer Valley Unified District,9700000US0407750,U,0,0,0,0,0,0,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9390,0,0,0,0,0,0,0,5361,0,,,,,,,0.570926517571885,,0,0,0,0,0,0,4029,0,,,,,,,0.429073482428115,,0,0,0,0,0,0,4548,0,0,0,0,0,0,0,813,0,,,,,,,0.8483491885842194,,,,,,,,0.15165081141578063,
3,Los Angeles Unified School District,9700000US0622710,U,20185,0,22006,0,74662,9461,37195,154485,0,0,44,0,0,0,0,0,20185,0,21962,0,74662,9461,37195,154485,5819,0,3775,0,22491,2657,8546,42150,0.288283378746594,,0.17188780621072763,,0.3012375773485843,0.2808371208117535,0.22976206479365507,0.2728420234974269,14366,0,18187,0,52171,6804,28649,112335,0.711716621253406,,0.8281121937892724,,0.6987624226514157,0.7191628791882465,0.770237935206345,0.7271579765025731,3709,0,2818,0,17777,2155,6904,33194,2110,0,957,0,4714,502,1642,8956,0.6373947413644956,,0.7464900662251656,,0.7904050509092526,0.8110651110274746,0.807863327872689,0.7875207591933571,0.36260525863550436,,0.25350993377483444,,0.2095949490907474,0.18893488897252542,0.19213667212731103,0.21247924080664293
4,San Diego City Unified School District,9700000US0634320,U,3793,0,8307,0,4442,4579,18411,20450,263,0,94,0,253,88,2914,776,3530,0,8213,0,4189,4491,15497,19674,1422,0,1885,0,1121,1541,3769,6357,0.4028328611898017,,0.22951418482892974,,0.2676056338028169,0.34313070585615674,0.24320836290895012,0.3231168039036292,2108,0,6328,0,3068,2950,11728,13317,0.5971671388101983,,0.7704858151710703,,0.7323943661971831,0.6568692941438432,0.7567916370910499,0.6768831960963708,939,0,1681,0,597,1329,3289,3842,483,0,204,0,524,212,480,2515,0.6603375527426161,,0.8917771883289125,,0.5325602140945584,0.8624269954574951,0.8726452639957548,0.6043731319804939,0.339662447257384,,0.10822281167108753,,0.46743978590544155,0.13757300454250487,0.12735473600424516,0.3956268680195061
5,San Jose Unified School District,9700000US0634590,U,0,0,2589,0,0,0,3499,4523,0,0,0,0,0,0,0,0,0,0,2589,0,0,0,3499,4523,0,0,559,0,0,0,1256,1630,,,0.21591348010814987,,,,0.3589597027722206,0.3603802785761663,0,0,2030,0,0,0,2243,2893,,,0.7840865198918502,,,,0.6410402972277793,0.6396197214238337,0,0,559,0,0,0,1156,1409,0,0,0,0,0,0,100,221,,,1.0,,,,0.9203821656050956,0.8644171779141104,,,0.0,,,,0.07961783439490445,0.13558282208588956
6,Chicago Public School District,9700000US1709930,U,40695,0,7793,0,17269,5173,25057,51793,0,0,0,0,0,0,0,0,40695,0,7793,0,17269,5173,25057,51793,11155,0,1545,0,5984,1800,8306,16610,0.2741122988082074,,0.19825484409085076,,0.34651687995830677,0.34796056446936013,0.3314842159875484,0.3206997084548105,29540,0,6248,0,11285,3373,16751,35183,0.7258877011917926,,0.8017451559091492,,0.6534831200416932,0.6520394355306398,0.6685157840124516,0.6793002915451894,6192,0,1412,0,4219,1531,6694,11898,4963,0,133,0,1765,269,1612,4712,0.5550874047512326,,0.913915857605178,,0.7050467914438503,0.8505555555555555,0.8059234288466169,0.7163154726068633,0.44491259524876736,,0.08608414239482201,,0.29495320855614976,0.14944444444444444,0.1940765711533831,0.28368452739313665
7,New York City Department of Education,9700000US3620580,U,102050,0,45929,0,72936,13702,89351,132516,0,0,0,0,46,0,64,339,102050,0,45929,0,72890,13702,89287,132177,22394,0,9223,0,19960,2883,16147,34083,0.21944145026947576,,0.2008099457858869,,0.2738372890657155,0.21040723981900453,0.18084379584933977,0.2578587802719081,79656,0,36706,0,52930,10819,73140,98094,0.7805585497305243,,0.799190054214113,,0.7261627109342845,0.7895927601809954,0.8191562041506603,0.7421412197280919,14828,0,7315,0,13590,2056,13280,23529,7566,0,1908,0,6370,827,2867,10554,0.6621416450835045,,0.7931258809497994,,0.6808617234468938,0.7131460284425946,0.8224437976094631,0.690344159845084,0.33785835491649546,,0.2068741190502006,,0.3191382765531062,0.2868539715574055,0.17755620239053693,0.30965584015491593
8,Philadelphia City School District,9700000US4218990,U,35319,0,6673,0,5461,0,22200,14127,0,0,0,0,0,0,25,60,35319,0,6673,0,5461,0,22175,14067,11502,0,960,0,2545,0,5866,4476,0.325660409411365,,0.14386332983665517,,0.46603186229628274,,0.26453213077790305,0.3181915120494775,23817,0,5713,0,2916,0,16309,9591,0.674339590588635,,0.8561366701633448,,0.5339681377037173,,0.735467869222097,0.6818084879505225,6521,0,830,0,1357,0,4851,3234,4981,0,130,0,1188,0,1015,1242,0.566944879151452,,0.8645833333333334,,0.5332023575638507,,0.8269689737470167,0.7225201072386059,0.4330551208485481,,0.13541666666666666,,0.4667976424361493,,0.1730310262529833,0.2774798927613941
9,Dallas Independent School District,9700000US4816230,U,12132,0,0,0,0,0,7604,33364,45,0,0,0,0,0,0,0,12087,0,0,0,0,0,7604,33364,3066,0,0,0,0,0,3687,14363,0.2536609580541077,,,,,,0.48487638085218304,0.43049394557007553,9021,0,0,0,0,0,3917,19001,0.7463390419458923,,,,,,0.5151236191478169,0.5695060544299245,2138,0,0,0,0,0,3035,12569,928,0,0,0,0,0,652,1794,0.6973255055446836,,,,,,0.8231624627068077,0.8750957320893964,0.30267449445531636,,,,,,0.1768375372931923,0.12490426791060363
10,Houston Independent School District,9700000US4823640,U,16655,0,3214,0,7312,0,9197,42321,0,0,0,0,0,0,0,0,16655,0,3214,0,7312,0,9197,42321,4966,0,294,0,2179,0,2176,10626,0.29816871810267187,,0.09147479775980087,,0.29800328227571116,,0.2365988909426987,0.2510810236053023,11689,0,2920,0,5133,0,7021,31695,0.7018312818973281,,0.9085252022401992,,0.7019967177242888,,0.7634011090573013,0.7489189763946976,3457,0,290,0,1223,0,2080,7160,1509,0,4,0,956,0,96,3466,0.6961337092227144,,0.9863945578231292,,0.5612666360715924,,0.9558823529411765,0.6738189346885,0.30386629077728555,,0.013605442176870748,,0.4387333639284075,,0.04411764705882353,0.3261810653115001
