Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
White,2012,5 year August,10117,8569,84.7,8126,80.3,94.8,3159,31.2,36.9,4967,49.1,58.0,443,4.4,5.2,633,6.3,695,6.9,142,1.4,64,0.6
White,2011,5 year August,9949,8469,85.1,8091,81.3,95.5,3216,32.3,38.0,4875,49.0,57.6,378,3.8,4.5,532,5.3,771,7.7,117,1.2,49,0.5
White,2010,5 year August,10420,8794,84.4,8324,79.9,94.7,3221,30.9,36.6,5103,49.0,58.0,470,4.5,5.3,589,5.7,874,8.4,104,1.0,47,0.5
White,2009,5 year August,10256,8543,83.3,8137,79.3,95.2,3270,31.9,38.3,4867,47.5,57.0,406,4.0,4.8,669,6.5,890,8.7,86,0.8,59,0.6
White,2008,5 year August,10159,8287,81.6,7911,77.9,95.5,3190,31.4,38.5,4721,46.5,57.0,376,3.7,4.5,632,6.2,1010,9.9,157,1.5,67,0.7
White,2007,5 year August,9890,8135,82.3,7293,73.7,89.6,3146,31.8,38.7,4147,41.9,51.0,842,8.5,10.4,392,4.0,1079,10.9,176,1.8,104,1.1
White,2006,5 year August,10155,8250,81.2,7117,70.1,86.3,3216,31.7,39.0,3901,38.4,47.3,1133,11.2,13.7,461,4.5,1102,10.9,197,1.9,136,1.3
White,2014,5 year June,10510,9082,86.4,8574,81.6,94.4,3665,34.9,40.4,4909,46.7,54.1,508,4.8,5.6,550,5.2,684,6.5,122,1.2,72,0.7
White,2013,5 year June,10089,8593,85.2,8171,81.0,95.1,3381,33.5,39.3,4790,47.5,55.7,422,4.2,4.9,633,6.3,625,6.2,159,1.6,78,0.8
White,2012,5 year June,10117,8544,84.5,8109,80.2,94.9,3159,31.2,37.0,4950,48.9,57.9,435,4.3,5.1,656,6.5,696,6.9,142,1.4,64,0.6
White,2011,5 year June,9949,8420,84.6,8057,81.0,95.7,3216,32.3,38.2,4841,48.7,57.5,363,3.6,4.3,581,5.8,771,7.7,117,1.2,49,0.5
White,2010,5 year June,10420,8745,83.9,8286,79.5,94.8,3221,30.9,36.8,5065,48.6,57.9,459,4.4,5.2,635,6.1,877,8.4,104,1.0,47,0.5
White,2009,5 year June,10256,8482,82.7,8094,78.9,95.4,3270,31.9,38.6,4824,47.0,56.9,388,3.8,4.6,726,7.1,894,8.7,86,0.8,59,0.6
White,2008,5 year June,10159,8244,81.1,7882,77.6,95.6,3189,31.4,38.7,4693,46.2,56.9,362,3.6,4.4,670,6.6,1014,10.0,158,1.6,67,0.7
White,2007,5 year June,9890,8074,81.6,7263,73.4,90.0,3146,31.8,39.0,4117,41.6,51.0,811,8.2,10.0,431,4.4,1100,11.1,177,1.8,104,1.1
White,2006,5 year June,10155,8201,80.8,7096,69.9,86.5,3216,31.7,39.2,3880,38.2,47.3,1105,10.9,13.5,495,4.9,1117,11.0,197,1.9,135,1.3
White,2005,5 year June,9962,7940,79.7,6615,66.4,83.3,3201,32.1,40.3,3414,34.3,43.0,1325,13.3,16.7,491,4.9,1143,11.5,198,2.0,187,1.9
White,2004,5 year June,10092,7892,78.2,6496,64.4,82.3,3343,33.1,42.4,3153,31.2,40.0,1396,13.8,17.7,495,4.9,1282,12.7,219,2.2,203,2.0
White,2003,5 year June,10440,7896,75.6,6372,61.0,80.7,3132,30.0,39.7,3240,31.0,41.0,1524,14.6,19.3,563,5.4,1685,16.1,223,2.1,66,0.6
White,2002,5 year June,11633,8622,74.1,6782,58.3,78.7,3212,27.6,37.3,3570,30.7,41.4,1872,16.1,21.7,636,5.5,2015,17.3,158,1.4,148,1.3
White,2001,5 year June,12104,8567,70.8,6444,53.2,75.2,3325,27.5,38.8,3119,25.8,36.4,2137,17.7,24.9,578,4.8,2604,21.5,316,2.6,31,0.3
White,2013,6 year June,10079,8721,86.5,8264,82.0,94.8,3383,33.6,38.8,4881,48.4,56.0,457,4.5,5.2,426,4.2,694,6.9,162,1.6,75,0.7
White,2012,6 year June,10119,8651,85.5,8179,80.8,94.5,3159,31.2,36.5,5020,49.6,58.0,472,4.7,5.5,469,4.6,765,7.6,159,1.6,64,0.6
White,2011,6 year June,10005,8548,85.4,8142,81.4,95.3,3216,32.1,37.6,4926,49.2,57.6,406,4.1,4.7,443,4.4,820,8.2,135,1.3,54,0.5
White,2010,6 year June,10487,8933,85.2,8411,80.2,94.2,3221,30.7,36.1,5190,49.5,58.1,522,5.0,5.8,439,4.2,944,9.0,114,1.1,46,0.4
White,2009,6 year June,10257,8661,84.4,8229,80.2,95.0,3271,31.9,37.8,4958,48.3,57.2,432,4.2,5.0,455,4.4,963,9.4,108,1.1,59,0.6
White,2008,6 year June,10142,8371,82.5,7972,78.6,95.2,3191,31.5,38.1,4781,47.1,57.1,399,3.9,4.8,396,3.9,1066,10.5,238,2.3,65,0.6
White,2007,6 year June,9914,8233,83.0,7363,74.3,89.4,3155,31.8,38.3,4208,42.4,51.1,870,8.8,10.6,266,2.7,1113,11.2,194,2.0,104,1.0
White,2006,6 year June,10077,8342,82.8,7162,71.1,85.9,3214,31.9,38.5,3948,39.2,47.3,1180,11.7,14.1,280,2.8,1136,11.3,179,1.8,127,1.3
White,2005,6 year June,9959,8074,81.1,6671,67.0,82.6,3201,32.1,39.6,3470,34.8,43.0,1403,14.1,17.4,311,3.1,1182,11.9,209,2.1,177,1.8
White,2004,6 year June,10091,8040,79.7,6560,65.0,81.6,3343,33.1,41.6,3217,31.9,40.0,1480,14.7,18.4,410,4.1,1345,13.3,217,2.2,73,0.7
White,2003,6 year June,10464,8053,77.0,6425,61.4,79.8,3132,29.9,38.9,3293,31.5,40.9,1628,15.6,20.2,295,2.8,1761,16.8,229,2.2,119,1.1
White,2002,6 year June,11633,8783,75.5,6826,58.7,77.7,3214,27.6,36.6,3612,31.0,41.1,1989,17.1,22.6,348,3.0,2130,18.3,168,1.4,150,1.3
White,2001,6 year June,12104,8729,72.1,6494,53.7,74.4,3328,27.5,38.1,3166,26.2,36.3,2257,18.6,25.9,258,2.1,2745,22.7,333,2.8,31,0.3
